id_producao,id_maquina,data,horas_operacao,unidades_produzidas
1,10,2025-03-21,10.82,287
2,42,2024-10-03,17.85,295
3,31,2025-04-21,14.97,157
4,21,2024-09-08,21.29,64
5,18,2025-04-06,11.9,257
6,37,2025-09-16,18.69,192
7,2,2025-05-21,21.62,113
8,32,2024-08-05,13.68,152
9,22,2024-10-13,22.09,161
10,36,2024-01-11,16.27,117
11,6,2024-09-04,19.52,270
12,36,2024-09-03,19.05,271
13,29,2024-01-18,9.49,133
14,26,2025-12-09,11.89,208
15,31,2025-07-20,16.49,237
16,36,2024-12-04,13.63,252
17,18,2024-11-09,12.02,81
18,13,2024-11-19,9.91,294
19,45,2024-07-08,11.06,267
20,18,2025-08-26,23.63,288
21,39,2024-10-16,23.69,119
22,19,2024-08-20,13.77,174
23,1,2025-12-26,16.55,160
24,3,2024-02-25,16.85,84
25,41,2025-05-17,9.64,26
26,37,2024-10-18,15.51,245
27,22,2024-07-07,23.45,149
28,31,2024-04-26,21.15,225
29,32,2024-03-16,17.23,47
30,10,2024-06-01,20.98,175
31,6,2024-09-11,9.9,233
32,39,2025-09-02,20.65,135
33,34,2025-01-24,15.21,246
34,20,2025-08-25,23.84,176
35,37,2025-09-27,8.96,70
36,14,2025-10-02,11.38,61
37,11,2024-09-02,10.78,58
38,11,2024-01-03,14.54,260
39,19,2024-02-03,11.7,164
40,45,2025-04-09,9.14,139
41,17,2025-10-02,17.44,121
42,28,2024-04-27,16.71,96
43,18,2024-05-25,9.14,104
44,20,2025-09-01,19.98,167
45,29,2024-05-07,15.5,175
46,45,2025-02-16,23.08,276
47,35,2025-05-20,15.0,40
48,28,2024-11-26,17.66,33
49,6,2024-08-22,23.39,30
50,44,2024-10-02,17.22,109
51,31,2025-06-15,18.42,162
52,12,2025-08-22,14.97,271
53,6,2025-04-26,13.57,190
54,21,2025-11-17,9.67,102
55,22,2025-02-25,19.1,167
56,43,2025-02-14,21.02,38
57,30,2024-03-31,13.03,185
58,8,2025-02-17,21.84,20
59,43,2025-07-09,15.39,47
60,13,2025-06-14,13.79,275
61,41,2025-03-28,20.16,124
62,18,2025-07-16,10.1,167
63,29,2025-12-16,15.76,34
64,41,2025-09-15,20.79,101
65,20,2025-07-18,8.22,228
66,6,2024-08-18,23.88,78
67,30,2024-04-30,18.36,98
68,32,2024-10-25,16.14,159
69,27,2025-05-09,23.68,144
70,30,2025-07-18,10.31,117
71,39,2025-06-04,19.94,89
72,5,2024-10-09,20.36,232
73,22,2025-06-03,12.27,21
74,19,2024-11-01,21.4,270
75,10,2025-04-02,16.62,196
76,22,2025-07-19,20.21,213
77,30,2024-11-25,21.91,142
78,37,2025-01-27,11.74,230
79,3,2024-11-21,19.92,215
80,25,2025-11-10,20.68,97
81,32,2024-02-07,10.02,189
82,7,2025-03-26,9.6,253
83,1,2024-05-27,14.56,99
84,5,2025-04-25,20.5,155
85,22,2025-09-30,19.08,61
86,22,2025-11-21,21.75,214
87,21,2025-10-03,19.5,269
88,35,2024-02-06,17.88,140
89,41,2025-12-01,22.73,136
90,6,2025-03-20,23.65,71
91,29,2024-06-19,19.1,34
92,3,2024-11-28,20.74,170
93,23,2025-01-18,14.89,145
94,34,2025-02-25,17.05,112
95,11,2024-06-28,9.26,215
96,40,2025-11-30,11.85,93
97,15,2025-04-17,18.21,255
98,17,2025-11-13,8.15,258
99,19,2025-11-24,16.75,57
100,29,2024-12-19,23.8,173
101,41,2025-03-10,19.05,253
102,20,2024-07-22,23.99,267
103,7,2024-08-30,14.1,203
104,37,2024-10-29,23.88,171
105,2,2025-11-05,14.33,24
106,37,2025-12-03,20.45,45
107,39,2025-05-23,21.33,166
108,15,2025-09-13,20.83,132
109,41,2024-07-13,17.93,90
110,41,2024-04-09,22.45,40
111,20,2025-03-27,8.53,206
112,9,2024-04-02,22.55,187
113,27,2024-06-28,11.21,296
114,24,2025-06-27,16.03,159
115,11,2024-09-20,22.62,266
116,19,2024-12-12,20.87,259
117,5,2024-05-24,20.07,135
118,44,2025-11-21,23.68,207
119,6,2025-02-08,8.22,294
120,8,2025-04-10,13.9,154
121,38,2025-01-25,21.16,210
122,7,2025-11-22,11.74,32
123,40,2025-07-28,13.25,133
124,42,2024-03-05,18.17,257
125,45,2024-11-05,18.39,79
126,9,2024-02-16,23.14,175
127,32,2024-04-28,9.56,295
128,9,2025-02-01,15.26,296
129,27,2025-08-24,19.88,99
130,27,2025-11-01,9.58,270
131,40,2025-02-21,23.02,163
132,3,2025-12-07,13.93,247
133,29,2024-08-29,21.69,70
134,44,2025-01-11,16.71,203
135,4,2025-02-11,12.41,82
136,30,2024-04-03,18.6,30
137,4,2024-12-07,11.9,84
138,37,2024-07-29,9.1,126
139,38,2024-08-09,21.01,139
140,22,2024-05-31,20.62,21
141,18,2024-05-28,23.8,296
142,17,2024-06-27,9.76,33
143,9,2024-01-16,13.73,141
144,38,2024-11-27,8.25,155
145,4,2024-05-09,19.87,289
146,8,2024-03-06,15.62,205
147,33,2025-08-30,9.74,277
148,15,2025-09-21,8.69,286
149,20,2025-04-14,18.29,35
150,4,2025-05-05,21.56,238
151,44,2024-04-20,15.84,247
152,5,2024-03-23,13.15,95
153,5,2024-05-09,12.4,300
154,21,2025-01-25,23.91,291
155,19,2025-04-09,16.09,240
156,7,2025-12-19,9.83,130
157,28,2025-04-07,22.21,231
158,22,2025-04-09,14.38,68
159,21,2025-03-13,13.0,150
160,24,2024-06-05,18.99,262
161,5,2024-04-03,21.31,67
162,28,2024-04-08,19.91,210
163,9,2025-07-23,8.96,188
164,43,2024-05-05,14.57,236
165,4,2024-10-21,17.61,200
166,7,2025-08-14,16.12,99
167,43,2025-05-08,11.59,75
168,23,2025-07-23,13.88,162
169,37,2024-08-19,20.92,33
170,39,2025-11-04,21.27,156
171,2,2024-07-03,12.37,178
172,22,2024-12-25,8.1,93
173,37,2025-11-04,14.41,92
174,41,2024-02-01,9.47,291
175,14,2025-01-20,14.72,194
176,11,2025-01-13,12.99,186
177,37,2025-09-02,9.36,46
178,10,2024-06-10,20.07,45
179,44,2024-03-24,12.35,237
180,32,2025-09-13,15.07,159
181,14,2025-06-08,9.82,240
182,8,2024-10-17,18.85,269
183,34,2025-11-14,12.93,132
184,26,2025-09-05,8.88,124
185,20,2024-08-04,20.28,150
186,19,2024-12-01,9.92,274
187,28,2024-06-28,10.07,292
