id_maquina,modo_falha,causa_falha,efeito_falha,severidade,ocorrencia,deteccao,rpn,acao_recomendada,data_analise
41,Falha elétrica,Falta de lubrificação,Aumento de custo operacional,5,4,2,40,Inspeção preventiva,2026-05-02
44,Sensor defeituoso,Erro operacional,Parada de linha,9,9,2,162,Inspeção preventiva,2026-05-02
6,Superaquecimento,Variação de processo,Perda de qualidade,5,9,8,360,Monitoramento preditivo,2026-05-02
42,Falha pneumática,Variação de processo,Retrabalho,9,7,2,126,Inspeção preventiva,2026-05-02
11,Falha elétrica,Falta de lubrificação,Retrabalho,9,7,5,315,Inspeção preventiva,2026-05-02
6,Sensor defeituoso,Falha de sensor,Parada de linha,7,7,5,245,Monitoramento preditivo,2026-05-02
30,Sensor defeituoso,Falha de sensor,Aumento de custo operacional,7,7,2,98,Padronização operacional,2026-05-02
24,Contaminação de processo,Falta de lubrificação,Retrabalho,7,2,2,28,Inspeção preventiva,2026-05-02
15,Falha pneumática,Sobrecarga térmica,Retrabalho,9,7,5,315,Revisão do sistema,2026-05-02
24,Contaminação de processo,Sobrecarga térmica,Parada de linha,7,4,8,224,Padronização operacional,2026-05-02
41,Falha pneumática,Erro operacional,Retrabalho,5,4,2,40,Monitoramento preditivo,2026-05-02
45,Falha elétrica,Desgaste de componente,Retrabalho,7,7,2,98,Calibração de sensores,2026-05-02
18,Desalinhamento,Falta de lubrificação,Aumento de custo operacional,3,9,8,216,Calibração de sensores,2026-05-02
26,Desalinhamento,Falta de lubrificação,Perda de qualidade,9,7,2,126,Monitoramento preditivo,2026-05-02
36,Sensor defeituoso,Erro operacional,Retrabalho,7,9,5,315,Revisão do sistema,2026-05-02
9,Superaquecimento,Falta de lubrificação,Aumento de custo operacional,7,2,2,28,Revisão do sistema,2026-05-02
44,Falha pneumática,Variação de processo,Scrap de material,7,2,5,70,Padronização operacional,2026-05-02
17,Contaminação de processo,Desgaste de componente,Aumento de custo operacional,9,2,8,144,Padronização operacional,2026-05-02
18,Desalinhamento,Erro operacional,Perda de qualidade,9,7,2,126,Calibração de sensores,2026-05-02
1,Falha elétrica,Variação de processo,Parada de linha,9,4,8,288,Monitoramento preditivo,2026-05-02
20,Falha elétrica,Falta de lubrificação,Retrabalho,9,9,8,648,Revisão do sistema,2026-05-02
35,Sensor defeituoso,Falha de sensor,Scrap de material,9,9,2,162,Inspeção preventiva,2026-05-02
8,Superaquecimento,Falta de lubrificação,Redução de produtividade,9,4,2,72,Inspeção preventiva,2026-05-02
6,Falha elétrica,Falta de lubrificação,Aumento de custo operacional,9,2,8,144,Calibração de sensores,2026-05-02
36,Falha pneumática,Falta de lubrificação,Redução de produtividade,5,9,8,360,Monitoramento preditivo,2026-05-02
45,Contaminação de processo,Sobrecarga térmica,Retrabalho,5,4,5,100,Calibração de sensores,2026-05-02
