id_producao,id_maquina,data,horas_operacao,unidades_produzidas
1,10,2025-03-21,0 days 00:00:00.000000010,287
2,42,2024-10-03,0 days 00:00:00.000000017,295
3,31,2025-04-21,0 days 00:00:00.000000014,157
4,21,2024-09-08,0 days 00:00:00.000000021,64
5,18,2025-04-06,0 days 00:00:00.000000011,257
6,37,2025-09-16,0 days 00:00:00.000000018,192
7,2,2025-05-21,0 days 00:00:00.000000021,113
8,32,2024-08-05,0 days 00:00:00.000000013,152
9,22,2024-10-13,0 days 00:00:00.000000022,161
10,36,2024-01-11,0 days 00:00:00.000000016,117
11,6,2024-09-04,0 days 00:00:00.000000019,270
12,36,2024-09-03,0 days 00:00:00.000000019,271
13,29,2024-01-18,0 days 00:00:00.000000009,133
14,26,2025-12-09,0 days 00:00:00.000000011,208
15,31,2025-07-20,0 days 00:00:00.000000016,237
16,36,2024-12-04,0 days 00:00:00.000000013,252
17,18,2024-11-09,0 days 00:00:00.000000012,81
18,13,2024-11-19,0 days 00:00:00.000000009,294
19,45,2024-07-08,0 days 00:00:00.000000011,267
20,18,2025-08-26,0 days 00:00:00.000000023,288
21,39,2024-10-16,0 days 00:00:00.000000023,119
22,19,2024-08-20,0 days 00:00:00.000000013,174
23,1,2025-12-26,0 days 00:00:00.000000016,160
24,3,2024-02-25,0 days 00:00:00.000000016,84
25,41,2025-05-17,0 days 00:00:00.000000009,26
26,37,2024-10-18,0 days 00:00:00.000000015,245
27,22,2024-07-07,0 days 00:00:00.000000023,149
28,31,2024-04-26,0 days 00:00:00.000000021,225
29,32,2024-03-16,0 days 00:00:00.000000017,47
30,10,2024-06-01,0 days 00:00:00.000000020,175
31,6,2024-09-11,0 days 00:00:00.000000009,233
32,39,2025-09-02,0 days 00:00:00.000000020,135
33,34,2025-01-24,0 days 00:00:00.000000015,246
34,20,2025-08-25,0 days 00:00:00.000000023,176
35,37,2025-09-27,0 days 00:00:00.000000008,70
36,14,2025-10-02,0 days 00:00:00.000000011,61
37,11,2024-09-02,0 days 00:00:00.000000010,58
38,11,2024-01-03,0 days 00:00:00.000000014,260
39,19,2024-02-03,0 days 00:00:00.000000011,164
40,45,2025-04-09,0 days 00:00:00.000000009,139
41,17,2025-10-02,0 days 00:00:00.000000017,121
42,28,2024-04-27,0 days 00:00:00.000000016,96
43,18,2024-05-25,0 days 00:00:00.000000009,104
44,20,2025-09-01,0 days 00:00:00.000000019,167
45,29,2024-05-07,0 days 00:00:00.000000015,175
46,45,2025-02-16,0 days 00:00:00.000000023,276
47,35,2025-05-20,0 days 00:00:00.000000015,40
48,28,2024-11-26,0 days 00:00:00.000000017,33
49,6,2024-08-22,0 days 00:00:00.000000023,30
50,44,2024-10-02,0 days 00:00:00.000000017,109
51,31,2025-06-15,0 days 00:00:00.000000018,162
52,12,2025-08-22,0 days 00:00:00.000000014,271
53,6,2025-04-26,0 days 00:00:00.000000013,190
54,21,2025-11-17,0 days 00:00:00.000000009,102
55,22,2025-02-25,0 days 00:00:00.000000019,167
56,43,2025-02-14,0 days 00:00:00.000000021,38
57,30,2024-03-31,0 days 00:00:00.000000013,185
58,8,2025-02-17,0 days 00:00:00.000000021,20
59,43,2025-07-09,0 days 00:00:00.000000015,47
60,13,2025-06-14,0 days 00:00:00.000000013,275
61,41,2025-03-28,0 days 00:00:00.000000020,124
62,18,2025-07-16,0 days 00:00:00.000000010,167
63,29,2025-12-16,0 days 00:00:00.000000015,34
64,41,2025-09-15,0 days 00:00:00.000000020,101
65,20,2025-07-18,0 days 00:00:00.000000008,228
66,6,2024-08-18,0 days 00:00:00.000000023,78
67,30,2024-04-30,0 days 00:00:00.000000018,98
68,32,2024-10-25,0 days 00:00:00.000000016,159
69,27,2025-05-09,0 days 00:00:00.000000023,144
70,30,2025-07-18,0 days 00:00:00.000000010,117
71,39,2025-06-04,0 days 00:00:00.000000019,89
72,5,2024-10-09,0 days 00:00:00.000000020,232
73,22,2025-06-03,0 days 00:00:00.000000012,21
74,19,2024-11-01,0 days 00:00:00.000000021,270
75,10,2025-04-02,0 days 00:00:00.000000016,196
76,22,2025-07-19,0 days 00:00:00.000000020,213
77,30,2024-11-25,0 days 00:00:00.000000021,142
78,37,2025-01-27,0 days 00:00:00.000000011,230
79,3,2024-11-21,0 days 00:00:00.000000019,215
80,25,2025-11-10,0 days 00:00:00.000000020,97
81,32,2024-02-07,0 days 00:00:00.000000010,189
82,7,2025-03-26,0 days 00:00:00.000000009,253
83,1,2024-05-27,0 days 00:00:00.000000014,99
84,5,2025-04-25,0 days 00:00:00.000000020,155
85,22,2025-09-30,0 days 00:00:00.000000019,61
86,22,2025-11-21,0 days 00:00:00.000000021,214
87,21,2025-10-03,0 days 00:00:00.000000019,269
88,35,2024-02-06,0 days 00:00:00.000000017,140
89,41,2025-12-01,0 days 00:00:00.000000022,136
90,6,2025-03-20,0 days 00:00:00.000000023,71
91,29,2024-06-19,0 days 00:00:00.000000019,34
92,3,2024-11-28,0 days 00:00:00.000000020,170
93,23,2025-01-18,0 days 00:00:00.000000014,145
94,34,2025-02-25,0 days 00:00:00.000000017,112
95,11,2024-06-28,0 days 00:00:00.000000009,215
96,40,2025-11-30,0 days 00:00:00.000000011,93
